plottag,dbh.x,year.x,plot.x,species,kgc.x,basal_area.x,dbh.y,year.y,plot.y,kgc.y,basal_area.y,dbh_gr,basal_gr,dbh_inc,kgc_inc,basal_inc,kgc_gr,pl_row,pl_col
A3-51,21.32,1998,A3,ro,114.62323389483554,357,21.45,1999,A3,116.30074238914038,361.4,0.129999999999999,0.012324929971988733,0.0060975609756097095,0.014634977895004472,4.399999999999977,1.6775084943048455,A,3
A3-52,13.44,1998,A3,beech,37.000218066025745,141.9,13.57,1999,A3,37.879193947781864,144.6,0.13000000000000078,0.019027484143763134,0.009672619047619107,0.023755964902358522,2.6999999999999886,0.8789758817561193,A,3
A3-53,11.53,1998,A3,rm,22.552286987770213,104.4,11.56,1999,A3,22.689245638682536,105,0.030000000000001137,0.0057471264367815545,0.0026019080659151032,0.006072938455713774,0.5999999999999943,0.13695865091232307,A,3
A3-54,33.36,1998,A3,ro,334.18079558137657,874.1,33.6,1999,A3,339.9555386946835,886.7,0.240000000000002,0.01441482667886972,0.007194244604316606,0.017280296144069545,12.600000000000023,5.774743113306954,A,3
A3-55,16.74,1998,A3,rm,53.76238300975305,220.1,16.74,1999,A3,53.76238300975305,220.1,0,0,0,0,0,0,A,3
A3-56,11.15,1998,A3,rm,20.858292074119593,97.64,11.19,1999,A3,21.033057306158913,98.34,0.03999999999999915,0.007169192953707526,0.003587443946188264,0.008378693299446316,0.7000000000000028,0.17476523203932004,A,3
A3-57,55.25,1998,A3,ro,1115.951712916061,2397,55.32,1999,A3,1119.3338512851558,2404,0.07000000000000028,0.002920317062995411,0.0012669683257918603,0.0030307210696930167,7,3.3821383690947187,A,3
A3-58,38.72,1998,A3,ro,477.13000819200875,1177,38.89,1999,A3,482.1519554222203,1188,0.1700000000000017,0.009345794392523364,0.004390495867768639,0.010525322541001412,11,5.021947230211538,A,3
A3-60,20.57,1998,A3,rm,86.88888078979895,332.3,20.67,1999,A3,87.87626989373173,335.6,0.10000000000000142,0.009930785434848063,0.004861448711716161,0.011363814275861951,3.3000000000000114,0.9873891039327845,A,3
A3-61,45.66,1998,A3,ro,707.5580337752523,1637,45.7,1999,A3,709.0403757977926,1640,0.04000000000000625,0.0018326206475259622,8.760402978538383e-4,0.0020950112242117715,3,1.4823420225403652,A,3
A3-62,27.94,1998,A3,bo,197.13230466878127,613.1,27.91,1999,A3,196.6029217562942,611.8,-0.030000000000001137,-0.0021203718806068637,-0.0010737294201861537,-0.0026854193856077568,-1.3000000000000682,-0.5293829124870797,A,3
A3-64,13.9,1998,A3,yb,36.060732672216304,151.7,13.87,1999,A3,35.874206789292685,151.1,-0.030000000000001137,-0.003955174686881967,-0.002158273381295046,-0.005172548340021133,-0.5999999999999943,-0.18652588292361827,A,3
A3-65,14.67,1998,A3,yb,41.046078375053604,169,14.66,1999,A3,40.97887162301657,168.8,-0.009999999999999787,-0.0011834319526626547,-6.816632583503604e-4,-0.0016373489185236385,-0.19999999999998863,-0.06720675203703053,A,3
A3-66,24.18,1998,A3,rm,126.64308298322112,459.2,24.36,1999,A3,128.85057920533444,466.1,0.17999999999999972,0.015026132404181259,0.007444168734491304,0.017430847150221307,6.900000000000034,2.2074962221133205,A,3
A3-67,12.03,1998,A3,rm,24.897011229601294,113.7,12.13,1999,A3,25.38189069410749,115.6,0.10000000000000142,0.016710642040457267,0.008312551953449827,0.019475408515287937,1.8999999999999915,0.48487946450619646,A,3
A3-69,13.19,1998,A3,rm,30.853090787585035,136.6,13.21,1999,A3,30.962204056489156,137.1,0.02000000000000135,0.0036603221083455345,0.0015163002274451364,0.003536542567334195,0.5,0.10911326890412099,A,3
A3-70,42.06,1998,A3,ro,581.4586018459834,1389,42.1,1999,A3,582.781097993956,1392,0.03999999999999915,0.0021598272138228943,9.510223490251817e-4,0.0022744459257701918,3,1.322496147972629,A,3
B1-152,15.1,1998,B1,rm,42.280935774930064,179.1,15.24,1999,B1,43.199953227824196,182.4,0.14000000000000057,0.018425460636515976,0.009271523178807984,0.02173597712657653,3.3000000000000114,0.9190174528941313,B,1
B1-153,47.93,1998,B1,ro,794.5532411979414,1804,48.18,1999,B1,804.4941491355368,1823,0.25,0.010532150776053215,0.005215939912372209,0.01251131758346058,19,9.940907937595398,B,1
B1-154,25.79,1998,B1,rm,147.16682846668854,522.4,25.91,1999,B1,148.76726394345937,527.3,0.120000000000001,0.009379785604900416,0.004652966265994611,0.010874974295808023,4.899999999999977,1.6004354767708264,B,1
B1-155,47.73,1998,B1,ro,786.6522269338153,1789,47.87,1999,B1,792.1781145150668,1800,0.14000000000000057,0.006148686416992733,0.0029331657238634103,0.007024562306001582,11,5.525887581251482,B,1
B1-156,33.36,1998,B1,rm,268.0680043805265,874.1,33.76,1999,B1,275.6169889993051,895.1,0.3999999999999986,0.02402471113144949,0.01199040767386087,0.028160707340748915,21,7.548984618778604,B,1
B1-157,18.99,1998,B1,rm,72.12593752074388,283.2,18.99,1999,B1,72.12593752074388,283.2,0,0,0,0,0,0,B,1
B1-158,14.8,1998,B1,rm,40.34949469754045,172,14.8,1999,B1,40.34949469754045,172,0,0,0,0,0,0,B,1
B1-159,28.2,1998,B1,rm,181.22108483576375,624.6,28.26,1999,B1,182.120750153589,627.2,0.060000000000002274,0.004162664105027253,0.002127659574468166,0.004964462709406015,2.6000000000000227,0.8996653178252529,B,1
B1-160,34.74,1998,B1,rm,294.61969146388014,947.9,34.76,1999,B1,295.01504362641265,949,0.01999999999999602,0.0011604599641312616,5.757052389175596e-4,0.0013419067835150906,1.1000000000000227,0.3953521625325038,B,1
B1-161,18.33,1998,B1,rm,66.41969039209961,263.9,18.36,1999,B1,66.6732523303376,264.7,0.030000000000001137,0.0030314513073134196,0.0016366612111293583,0.0038175718185544834,0.8000000000000114,0.25356193823799345,B,1
B1-162,31.48,1998,B1,rm,234.1796807910943,778.3,31.53,1999,B1,235.04723967727347,780.8,0.05000000000000071,0.003212128999100604,0.0015883100381194634,0.003704671913670772,2.5,0.8675588861791539,B,1
B1-163,13.1,1998,B1,rm,30.364799819122116,134.8,13.1,1999,B1,30.364799819122116,134.8,0,0,0,0,0,0,B,1
B1-164,17.82,1998,B1,wp,36.183466557509405,249.4,17.88,1999,B1,36.49336501672194,251.1,0.05999999999999872,0.006816359262229304,0.0033670033670032953,0.00856464260327257,1.6999999999999886,0.30989845921253334,B,1
B1-165,42.41,1998,B1,ro,593.0897514071231,1413,42.43,1999,B1,593.7584376221596,1414,0.020000000000003126,7.077140835102619e-4,4.7158688988453495e-4,0.0011274620973469787,1,0.6686862150364732,B,1
B2-179,61.85,1998,B2,ro,1461.4135871736357,3004,62.04,1999,B2,1472.1661388917282,3023,0.18999999999999773,0.0063249001331557924,0.0030719482619239727,0.007357637709450789,19,10.75255171809249,B,2
B2-180,24.34,1998,B2,rm,128.60422620851543,465.3,24.37,1999,B2,128.97385663159193,466.4,0.030000000000001137,0.0023640661938533545,0.0012325390304026762,0.0028741701106866583,1.099999999999966,0.36963042307650085,B,2
B2-182,30.12,1998,B2,yb,234.66461498649883,712.5,30.05,1999,B2,233.3334431044606,709.2,-0.07000000000000028,-0.004631578947368357,-0.0023240371845949627,-0.0056726570476542506,-3.2999999999999545,-1.3311718820382339,B,2
B2-184,9.55,1998,B2,rm,14.539054324732996,71.63,9.56,1999,B2,14.574551275872231,71.78,0.009999999999999787,0.0020940946530783986,0.001047120418848145,0.0024414896833317257,0.15000000000000568,0.03549695113923512,B,2
B2-185,13.82,1998,B2,rm,34.3963249969691,150,13.9,1999,B2,34.8620392958978,151.7,0.08000000000000007,0.011333333333333258,0.005788712011577429,0.013539652825403288,1.6999999999999886,0.4657142989287024,B,2
B2-187,28.11,1998,B2,rm,179.87635304468841,620.6,28.45,1999,B2,184.98648245380457,635.7,0.33999999999999986,0.02433129229777638,0.012095339736748483,0.028409122836989008,15.100000000000023,5.110129409116155,B,2
B2-189,35.78,1998,B2,cherry,417.5228367827912,1005,35.72,1999,B2,415.69274827043233,1002,-0.060000000000002274,-0.0029850746268656717,-0.0016769144773617181,-0.004383205782132954,-3,-1.8300885123588841,B,2
B2-192,12.11,1998,B2,bb,23.979938271241224,115.2,12.26,1999,B2,24.778356582220198,118.1,0.15000000000000036,0.025173611111111036,0.012386457473162705,0.03329526131168173,2.8999999999999915,0.798418310978974,B,2
B2-193,14.8,1998,B2,yb,41.92571898363796,172,14.94,1999,B2,42.88542439225581,175.3,0.1399999999999988,0.019186046511627974,0.009459459459459377,0.022890613014707926,3.3000000000000114,0.9597054086178503,B,2
B2-194,20.07,1998,B2,rm,82.04718427816077,316.4,20.3,1999,B2,84.25468743952393,323.7,0.23000000000000043,0.02307206068268019,0.011459890383657221,0.02690528847253512,7.300000000000011,2.2075031613631637,B,2
B3-201,34,1998,B3,ro,349.708235609334,907.9,34.31,1999,B3,357.3771362996453,924.6,0.3100000000000023,0.01839409626610865,0.009117647058823597,0.021929425473635113,16.700000000000045,7.668900690311318,B,3
B3-202,20.66,1998,B3,ro,106.32434265206686,335.2,20.74,1999,B3,107.31098116279945,337.8,0.0799999999999983,0.007756563245823457,0.0038722168441431893,0.00927951667626332,2.6000000000000227,0.9866385107325897,B,3
B3-203,15.48,1998,B3,ash,56.133162720000016,188.2,15.4,1999,B3,55.47798800000001,186.3,-0.08000000000000007,-0.010095642933049827,-0.005167958656330754,-0.011671794145434265,-1.8999999999999773,-0.6551747200000051,B,3
B3-204,27.73,1998,B3,rm,174.26152070173578,603.9,27.68,1999,B3,173.5302863250428,601.8,-0.05000000000000071,-0.0034773969200199086,-0.001803101334295013,-0.004196189576151781,-2.1000000000000227,-0.7312343766929814,B,3
B3-208,20.06,1998,B3,rm,81.95196424799967,316,20.04,1999,B3,81.76171351029724,315.4,-0.019999999999999574,-0.0018987341772152618,-9.970089730807366e-4,-0.0023214908812520816,-0.6000000000000227,-0.19025073770242784,B,3
B3-209,21.15,1998,B3,ro,112.4509261621604,351.3,21.27,1999,B3,113.98181000173646,355.3,0.120000000000001,0.01138627953316254,0.005673758865248274,0.013613794850995222,4,1.530883839576063,B,3
B3-210,30.48,1998,B3,ro,269.31900982985235,729.7,30.73,1999,B3,274.62860275580954,741.7,0.25,0.016445114430587913,0.008202099737532808,0.019714883584755608,12,5.30959292595719,B,3
B3-211,16.79,1998,B3,rm,54.1372792036659,221.4,16.87,1999,B3,54.740208331269955,223.5,0.08000000000000185,0.009485094850948483,0.004764740917212737,0.011137041544622535,2.0999999999999943,0.6029291276040567,B,3
B3-212,13.04,1998,B3,rm,30.0417405741374,133.6,13.03,1999,B3,29.988089069462447,133.3,-0.009999999999999787,-0.0022455089820358006,-7.668711656441555e-4,-0.0017858986746307507,-0.29999999999998295,-0.05365150467495283,B,3
B3-213,13.66,1998,B3,rm,33.475604866345776,146.6,13.66,1999,B3,33.475604866345776,146.6,0,0,0,0,0,0,B,3
B3-214,15.49,1998,B3,yb,46.78125829918804,188.4,15.49,1999,B3,46.78125829918804,188.4,0,0,0,0,0,0,B,3
B3-215,18.04,1998,B3,rm,63.996971988214916,255.6,18.16,1999,B3,64.99324490465573,259,0.120000000000001,0.013302034428795014,0.006651884700665244,0.01556750085963869,3.4000000000000057,0.9962729164408088,B,3
B3-216,16.46,1998,B3,rm,51.69039006351391,212.8,16.48,1999,B3,51.83684928415772,213.3,0.019999999999999574,0.002349624060150376,0.0012150668286755512,0.002833393604959312,0.5,0.14645922064381267,B,3
B3-217,11.59,1998,B3,rm,22.826677827126822,105.5,11.65,1999,B3,23.102964436654847,106.6,0.0600000000000005,0.010426540284360136,0.005176876617773986,0.012103671485637348,1.0999999999999943,0.2762866095280252,B,3
B3-218,12.78,1998,B3,rm,28.664554267005173,128.3,12.89,1999,B3,29.242708891949473,130.5,0.11000000000000121,0.01714731098986741,0.008607198748043913,0.02016967086105348,2.1999999999999886,0.5781546249443004,B,3
B3-219,15.63,1998,B3,rm,45.81975073815314,191.9,15.62,1999,B3,45.75147524238345,191.6,-0.010000000000001563,-0.0015633142261595172,-6.397952655151351e-4,-0.0014900887645562526,-0.30000000000001137,-0.06827549576969005,B,3
B3-221,24.16,1998,B3,rm,126.39914907684712,458.4,24.11,1999,B3,125.79048849597443,456.5,-0.05000000000000071,-0.004144851657940614,-0.002069536423841089,-0.004815385113887483,-1.8999999999999773,-0.6086605808726944,B,3
B3-222,17.44,1998,B3,rm,59.1468476903039,238.9,17.41,1999,B3,58.91005662620134,238.1,-0.030000000000001137,-0.003348681456676481,-0.0017201834862385973,-0.004003443519803668,-0.8000000000000114,-0.23679106410256168,B,3
B3-223,42.25,1998,B3,ro,587.7560295391495,1402,42.46,1999,B3,594.7622887160674,1416,0.21000000000000085,0.009985734664764621,0.004970414201183452,0.011920352705545813,14,7.006259176917865,B,3
B3-225,21.41,1998,B3,rm,95.38171748969697,360,21.4,1999,B3,95.27794804682942,359.7,-0.010000000000001563,-8.333333333333649e-4,-4.6707146193374885e-4,-0.0010879385022476047,-0.30000000000001137,-0.10376944286754508,B,3
B3-226,22.17,1998,B3,ro,125.84943057383914,386,22.24,1999,B3,126.80120464105946,388.5,0.06999999999999673,0.006476683937823834,0.0031574199368514535,0.007562799949753309,2.5,0.9517740672203132,B,3
B3-227,21.61,1998,B3,rm,97.47066079207238,366.8,21.6,1999,B3,97.3655998220802,366.4,-0.00999999999999801,-0.0010905125408943131,-4.627487274409075e-4,-0.0010778727582067002,-0.4000000000000341,-0.10506096999218073,B,3
B3-228,43.31,1998,B3,bo,590.5286246203132,1473,43.62,1999,B3,601.1655207143579,1494,0.30999999999999517,0.014256619144602852,0.007157700300161513,0.018012498718218434,21,10.636896094044687,B,3
B3-229,15.53,1998,B3,rm,45.139609254174765,189.4,15.49,1999,B3,44.869177329062644,188.4,-0.03999999999999915,-0.005279831045406547,-0.0025756600128782454,-0.005991011654295822,-1,-0.27043192511212055,B,3
B3-230,16.49,1998,B3,bb,54.522031578210424,213.6,16.46,1999,B3,54.258522271288456,212.8,-0.029999999999997584,-0.0037453183520598453,-0.0018192844147967002,-0.0048330793863389085,-0.799999999999983,-0.26350930692196783,B,3
B3-231,21.5,1998,B3,ro,116.94971492268535,363.1,21.6,1999,B3,118.25396560333276,366.4,0.10000000000000142,0.009088405397961867,0.00465116279069774,0.011152234800312638,3.2999999999999545,1.3042506806474137,B,3
B3-232,33.65,1998,B3,ro,341.1658574481134,889.3,33.82,1999,B3,345.2996674611734,898.3,0.1700000000000017,0.010120319352299562,0.005052005943536455,0.012116716613967389,9,4.1338100130599855,B,3
B4-251,18.48,1998,B4,bo,70.0488416015082,268.2,18.49,1999,B4,70.1437584639935,268.5,0.00999999999999801,0.0011185682326622349,5.411255411254335e-4,0.0013550097377093844,0.30000000000001137,0.09491686248530584,B,4
B4-253,11.84,1998,B4,rm,23.990415516119256,110.1,11.89,1999,B4,24.227133071685305,111,0.05000000000000071,0.008174386920980978,0.004222972972973033,0.009867171971531603,0.9000000000000057,0.2367175555660488,B,4
B4-254,12.98,1998,B4,rm,29.720652298190714,132.3,12.98,1999,B4,29.720652298190714,132.3,0,0,0,0,0,0,B,4
B4-255,18.64,1998,B4,rm,69.06647150599078,272.9,18.9,1999,B4,71.3319846122976,280.6,0.259999999999998,0.02821546353975832,0.013948497854077146,0.03280192337768866,7.7000000000000455,2.265513106306827,B,4
B4-256,14.15,1998,B4,rm,36.340492469129074,157.3,14.28,1999,B4,37.12316766431914,160.2,0.129999999999999,0.018436109345200107,0.009187279151943393,0.02153727541955965,2.8999999999999773,0.7826751951900661,B,4
B4-257,12.13,1998,B4,rm,25.38189069410749,115.6,12.17,1999,B4,25.577338478486105,116.3,0.03999999999999915,0.006055363321799333,0.0032976092333057826,0.007700284692502797,0.7000000000000028,0.1954477843786151,B,4
B4-258,11.5,1998,B4,rm,22.415801468498213,103.9,11.56,1999,B4,22.689245638682536,105,0.0600000000000005,0.010587102983638057,0.005217391304347869,0.012198723769417958,1.0999999999999943,0.2734441701843231,B,4
B4-259,12.8,1998,B4,rm,28.769183264408607,128.7,12.79,1999,B4,28.716841565441307,128.5,-0.010000000000001563,-0.0015540015540014657,-7.812500000001221e-4,-0.0018193668720534737,-0.19999999999998863,-0.05234169896730023,B,4
B4-260,11.11,1998,B4,rm,20.684358713974536,96.94,11.12,1999,B4,20.727764119902236,97.12,0.009999999999999787,0.0018568186507118508,9.00090009000881e-4,0.002098465150789286,0.18000000000000682,0.04340540592770026,B,4
B4-261,15.34,1998,B4,rm,43.86330901121406,184.8,15.42,1999,B4,44.39815205605448,186.7,0.08000000000000007,0.010281385281385157,0.005215123859191661,0.012193403938213691,1.8999999999999773,0.5348430448404216,B,4
B4-262,23.05,1998,B4,ro,138.11942775677676,417.3,23.18,1999,B4,139.98849673664472,422,0.129999999999999,0.011262880421758898,0.005639913232104078,0.013532267040371202,4.699999999999989,1.8690689798679614,B,4
B4-263,16.61,1998,B4,gb,53.82279548847797,216.7,16.81,1999,B4,55.44151485484686,221.9,0.1999999999999993,0.023996308260267732,0.012040939193257032,0.03007497755696117,5.200000000000017,1.618719366368886,B,4
B4-265,21.73,1998,B4,gb,104.83271587263387,370.9,21.85,1999,B4,106.27821362657697,375,0.120000000000001,0.011054192504718315,0.005522319374137183,0.013788613048042212,4.100000000000023,1.4454977539431013,B,4
B4-266,19.98,1998,B4,gb,85.09111278846314,313.5,20.04,1999,B4,85.72710691574515,315.4,0.05999999999999872,0.006060606060605988,0.003003003003002939,0.007474272064852437,1.8999999999999773,0.635994127282018,B,4
B4-267,20.11,1998,B4,gb,86.47271714487546,317.6,20.07,1999,B4,86.04617681000006,316.4,-0.03999999999999915,-0.003778337531486289,-0.001989060169070072,-0.004932657940663258,-1.2000000000000455,-0.4265403348753978,B,4
B4-268,21.98,1998,B4,gb,107.85767889645133,379.4,22.02,1999,B4,108.34650125801215,380.8,0.03999999999999915,0.003690036900369094,0.0018198362147406346,0.004532105331416548,1.400000000000034,0.48882236156082115,B,4
B4-269,27.51,1998,B4,gb,188.633894169101,594.4,27.61,1999,B4,190.34906854758123,598.7,0.09999999999999787,0.007234185733512901,0.0036350418029806567,0.009092609713833529,4.300000000000068,1.7151743784802136,B,4
B4-270,12.77,1998,B4,rm,28.612321355060445,128.1,12.76,1999,B4,28.560142815559956,127.9,-0.009999999999999787,-0.0015612802498047513,-7.830853563038204e-4,-0.0018236388041706346,-0.19999999999998863,-0.05217853950048834,B,4
B4-271,10.44,1998,B4,rm,17.8937129190457,85.6,10.47,1999,B4,18.01374753686451,86.1,0.030000000000001137,0.0058411214953271035,0.002873563218390914,0.006708200716188281,0.5,0.12003461781880986,B,4
B4-272,21.14,1998,B4,rm,92.60254313056164,351,21.28,1999,B4,94.03774071700238,355.7,0.14000000000000057,0.013390313390313357,0.006622516556291418,0.015498468378100923,4.699999999999989,1.4351975864407365,B,4
B4-273,13.8,1998,B4,rm,34.28045477755677,149.6,13.9,1999,B4,34.8620392958978,151.7,0.09999999999999964,0.014037433155080176,0.007246376811594177,0.01696548432962424,2.0999999999999943,0.5815845183410318,B,4
B4-274,24.18,1998,B4,gb,136.75859134844913,459.2,24.16,1999,B4,136.47706285861898,458.4,-0.019999999999999574,-0.0017421602787456693,-8.271298593879062e-4,-0.002058579918484543,-0.8000000000000114,-0.28152848983015133,B,4
B4-275,10.11,1998,B4,ro,19.26755068775898,80.28,10.15,1999,B4,19.450245587156274,80.91,0.040000000000000924,0.007847533632286938,0.003956478733926897,0.009481999157960615,0.6299999999999955,0.1826948993972941,B,4
B4-276,11.12,1998,B4,rm,20.727764119902236,97.12,11.13,1999,B4,20.771221471629907,97.29,0.010000000000001563,0.001750411861614515,8.99280575539709e-4,0.0020965769137610214,0.1700000000000017,0.04345735172767107,B,4
B4-277,22.84,1998,B4,ro,135.13097997317652,409.7,23.08,1999,B4,138.54945476086448,418.4,0.23999999999999844,0.02123505003661213,0.010507880910682945,0.02529749128117418,8.699999999999989,3.4184747876879555,B,4
B4-278,14.88,1998,B4,rm,40.8595080314809,173.9,14.9,1999,B4,40.98758297779994,174.4,0.019999999999999574,0.0028752156411730877,0.0013440860215053476,0.0031345200294717553,0.5,0.12807494631903893,B,4
B4-279,12.81,1998,B4,rm,28.821579377939578,128.9,12.85,1999,B4,29.031708258091086,129.7,0.03999999999999915,0.00620636152055844,0.003122560499609613,0.007290678883210115,0.799999999999983,0.2101288801515082,B,4
B4-280,22.39,1998,B4,ro,128.85477945971755,393.7,22.41,1999,B4,129.13003996213018,394.4,0.019999999999999574,0.0017780035560070833,8.932559178204365e-4,0.0021362071594611437,0.6999999999999886,0.27526050241263533,B,4
B4-726,33.42,1998,B4,ro,335.61908820715564,877.2,33.67,1999,B4,341.65068552638786,890.4,0.25,0.015047879616962986,0.007480550568521843,0.017971556240893277,13.199999999999932,6.031597319232219,B,4
C1-217,27.46,1998,C1,hem,106.44903229956935,592.2,27.61,1999,C1,107.87476618682612,598.7,0.14999999999999858,0.010976021614319487,0.005462490895848455,0.013393582416460695,6.5,1.4257338872567686,C,1
C1-351,19.11,1998,C1,hem,43.973459491251695,286.8,19.3,1999,C1,45.04581955784722,292.6,0.19000000000000128,0.02022315202231524,0.009942438513867153,0.024386529488517102,5.800000000000011,1.0723600665955217,C,1
C1-352,43.63,1998,C1,ro,634.6845220133163,1495,43.71,1999,C1,637.4694489507399,1501,0.0799999999999983,0.004013377926421404,0.0018336007334402542,0.0043878916860764245,6,2.78492693742362,C,1
C1-353,38.82,1998,C1,ro,480.0803910624424,1184,38.88,1999,C1,481.85570002339205,1187,0.060000000000002274,0.002533783783783784,0.0015455950540958854,0.0036979409990497525,3,1.7753089609496442,C,1
C1-354,23.67,1998,C1,rm,120.50643660017747,440,23.75,1999,C1,121.45755212084804,443,0.0799999999999983,0.006818181818181818,0.00337980566117441,0.007892653268192057,3,0.9511155206705695,C,1
C1-355,11.71,1998,C1,yb,23.913582438102626,107.7,11.74,1999,C1,24.06035994128605,108.2,0.02999999999999936,0.004642525533890436,0.0025619128949615163,0.006137829978562926,0.5,0.1467775031834222,C,1
