year,evi
1984,0.38809327799153615
1985,0.7861949219761124
1986,0.533745785075498
1987,0.5466994068708765
1988,0.7178978359842875
1989,0.6250033644308527
1990,0.3811819438474724
1991,0.7605360789471362
1992,0.583912274205541
1993,0.7132323441735233
1994,0.5773451173880014
1995,0.5820546778569738
1996,0.6244502182466438
1997,0.5938981013843813
1998,0.7624384882938431
1999,0.6644869540111128
2000,0.5264632421803762
2001,0.6277433727160994
2002,0.6626840341522033
